group,english_mean,english_sd,loginc_mean,loginc_sd,age_mean,age_arr,ysm_mean,married_mean,college_mean,tel_mean,n_obs,n_countries
Control,0.833942877397218,0.3741492547195601,9.594106702785488,1.065678627057117,36.58882425548319,21.512172193810425,15.076652061672768,0.6736809831976176,0.22383473977963136,1.8318178073454474,605249,43
Treated,0.6645152766402975,0.4741377988740786,9.78322646556881,1.0783630021114325,35.33746672339609,22.657986096247953,12.679480627148134,0.6334788269114872,0.2554293301594589,15.539531274054951,230256,49
Full Sample,0.7865703298100665,0.41151509558704924,9.646977477465814,1.072504404839367,36.23966140341346,21.831885497049164,14.407775906364291,0.6624634860488958,0.23265049147658745,5.656643412069196,835505,64
