subgroup,estimate_inc,std_error_inc,p_value_inc,estimate_eng,std_error_eng,p_value_eng
College or above,-0.1561770412901169,0.03138562974124987,6.320146014518184e-6,0.02181396219836372,0.02533928337951762,0.39285165441329606
Less than college,-0.07480949061151344,0.021592578977918473,9.776293261174384e-4,-0.06759836223093789,0.032538038206867397,0.041835612446764016
Europe,-0.05362219496520794,0.03033922950169456,0.08700151363334223,-0.035911735787821454,0.020113207204080878,0.08397104917315337
Asia,-0.12156741049816056,0.04099234734018053,0.006115105760265827,-0.04198540564700748,0.05337921051282491,0.4381522191620677
Employed,-0.09947769030267575,0.025949320870587895,2.9426161929743504e-4,-0.044386264729485765,0.0281981880281431,0.12047741515602173
Unemployed,-0.1488804986896573,0.05314850868386723,0.007132851682023853,-0.07922739531894613,0.04207365275774076,0.06508252322066795
