threshold,estimate,std.error,p.value
3,0.05188103062452261,0.08283314584605199,0.5333602626641207
5,-0.0754119252781985,0.038639091521590355,0.05542250940802147
10,-0.04254359395728986,0.047772544105837624,0.37656174065254444
