STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BHS,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,"Bahamas, The",Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,11.38844073,12.0441,12.0441,12.0441,12.0441,11.29378198,12.80956447,12.58704057,13.58038472,13.26187416,13.89037863,14.14308024,17.10763771,15.33269086,16.08974731,17.07199057,19.31109552,21.08263111,22.42255771,23.29750049,25.3,27.8,26.9,26.1,26.6,27.8,29.2,31.6,33.6,34.8,35.3,37.6,38.2,39.3,41.2,38.7,37.8,37.6,37.1,35.5,35.2,35.8,36.0,35.9,32.9,31.4,31.2,29.2,28.9,23.1,23.0,21.6,21.8,24.2,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ERI,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Eritrea,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723,0.718,0.794,0.866,0.889,1.02,1.11,1.24,1.36,1.35,1.5,1.53,1.51,1.42,1.39,1.36,1.44,1.68,1.84,1.95,1.98,2.01,2.07,2.13,2.11,2.1,,2.04,2.01,1.97,2.0,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EUU,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,European Union,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,5.381489882771902,5.379675286937287,5.378231586190205,5.377374899823375,5.377262754012627,7.198488284150928,7.1757400266711375,7.175807265884151,7.175742727823716,7.175017340547237,10.177292868355622,10.13301860590139,10.126417589112586,10.118447102717278,10.109621176873745,14.707179695163083,15.988375307781192,17.434202303067377,18.973634750505777,20.043369161943815,21.55331506027059,22.93079236327904,24.10434132831191,25.281127464404204,26.430884460029343,27.44419646530696,28.573951351228185,29.64141198913442,30.86421795103171,32.26357737276543,34.04743255940178,35.44344881595788,36.86835689284039,38.10397630953405,39.51598053409618,41.25535489763184,42.759540248643695,44.296112715239694,45.734368311945154,46.84194648348471,48.05006440663084,48.33891548437619,48.50066535366176,48.21905325622285,47.885943237442596,47.44580236679393,47.33693015421215,45.47299909554148,44.33886454372907,46.11508699033212,45.22783719771722,44.185627040816996,42.96321294434033,42.504731277583446,41.96512585361425,41.05464104129194,40.495926430824085,39.743125866773944,38.46560990694952,36.55585144033433,35.973117159713155,35.73318921676174,35.52281814855124,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TCA,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Turks and Caicos Islands,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,6.820647962,7.648470306,7.40848344,7.594936709,7.228587016,8.423269281,,,9.762502855,9.077023784,9.418398246,,,,,,,24.7,23.7,23.0,24.7,25.7,26.8,14.0,15.7,18.1,19.5,17.6,17.1,16.3,15.4,14.7,14.1,13.5,12.9,12.4,,11.5,11.9,11.7,10.9,,,,9.27,9.01,8.84,8.84,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MKD,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,North Macedonia,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,10.63592176,11.06260327,11.4913585,11.92294203,12.35729182,12.79570379,13.23901921,13.8,14.1,15.4,16.2,16.9,17.6,18.2,20.1,21.6,23.0,24.7,26.1,27.0,25.2,25.7,25.5,23.5,22.3,22.1,21.2,20.1,20.7,20.1,19.7,19.2,18.7,18.8,18.9,19.9,21.1,22.2,23.0,23.8,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MEA,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,"Middle East, North Africa, Afghanistan & Pakistan",Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,0.7777249342064936,0.7769858425602401,0.7780624497907059,0.7791189654759771,0.7800282882411047,,0.9389378928366644,0.9392338256909394,0.9393324967782514,0.9396619073911154,1.2093095240641973,1.1996813650293343,1.20300169707642,1.2065990430216815,1.2097992342283612,1.7801682732613178,1.9157628161715916,1.9907587020954718,2.095944652925914,2.237915049783686,2.6868684915753382,2.524407857903612,2.8384856076678515,3.0151648835073743,3.166109775467732,3.445002597544937,3.6839919563805723,3.889157036492119,4.087116388589571,4.276410076786551,4.526292032785437,4.807559035478188,5.203908234609151,5.632210444755006,6.127940015773931,6.66584928243801,7.22056368300695,7.765256022654607,8.465797758474114,9.277443138698583,9.981425586795936,10.799673879977764,11.906782253777948,12.928877789078925,13.46691540954825,14.858026760352036,15.576288970229264,16.207750159247265,16.474129810567327,16.289317383063167,16.02048350113063,16.20511578181515,16.148663967098635,15.556958640564265,14.768030180095328,14.4,14.6,14.7,14.8,14.6,9.9,9.8,9.9,10.0,10.1
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,WLD,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,World,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,5.15286869042579,5.110877723043158,5.067404206316672,5.022906220409235,,6.082470842986935,6.02587309966067,5.969107416639001,5.911811965116414,6.016520756788004,6.239852883569942,6.533435363313076,6.859463228076891,7.158044049989124,7.520380030056776,7.689103326087902,7.727061005111635,7.912410291750416,8.123695774781329,8.356484606346848,8.553916256170083,8.799354768102065,9.104478955961731,9.422376069346392,9.787227789978527,10.097741584146242,10.431548715025325,10.844656308216921,11.385705673778638,12.023655746806217,12.713083232074645,13.456254220752255,14.04936242826758,14.957031182864448,15.9108290712127,16.659108082451205,17.220394239694468,17.828633457885758,18.694466730018732,19.1,19.2,18.8,18.5,18.4,17.8,17.2,16.7,16.0,15.1,14.1,13.4,13.0,12.4,11.9,11.5,11.2,10.9,10.6,10.2
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,OSS,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Other small states,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,5.621001191442921,6.051938856354214,6.535055843259592,6.996859852441952,7.818548265217775,8.088423888675207,8.56508731419664,9.045419304135486,9.71707717644105,10.281755437159475,10.788417806808452,11.479024055056204,12.123118795781801,12.63752303031594,13.07760374163666,13.595410201206697,14.223958890003301,15.207593279543453,16.303214317261016,17.46444435498147,18.504225157574428,19.75973028366471,20.97736877100022,21.951326021816524,22.671743453490993,23.339803010113624,23.47933427276235,22.86634131752209,21.04554312144498,20.6825702210449,20.805608013497874,20.42258892314508,20.917464606158966,21.11716116548737,20.848924611772365,20.46557902753103,20.48961158795142,19.29206134120339,18.676134214672082,18.019168226835056,17.458445922374068,17.061544530277228,17.046555304138504,16.827876351367273,16.75816680637961,16.662385080007027,16.094910301131247,14.38974465675348,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MLT,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Malta,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.745032995,2.96128,2.96128,2.96128,2.96128,4.411444818,4.46838,4.46838,4.46838,4.46838,7.074828638,6.96158,6.96158,6.96158,6.96158,8.931884525,10.50557436,11.92306745,13.01264864,14.06957322,15.33093316,17.12955674,19.3129762,22.45411011,23.09570454,24.2511128,27.69815844,31.07985213,32.55002943,33.72341072,34.9,37.4,40.1,41.6,42.7,44.4,46.6,47.9,48.6,49.8,51.1,51.6,51.1,51.0,50.3,48.9,50.2,55.2,57.5,58.7,58.6,54.7,53.9,54.0,53.0,51.7,51.5,51.4,52.7,50.7,49.8,49.2,49.1,48.6,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BTN,WB_WDI_IT_MLT_MAIN_P2,_T,_T,_T,10P2PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,Fixed telephone subscriptions (per 100 people),0,WB_WDI,PU,A,Annual,Bhutan,Fixed telephone subscriptions (per 100 people),Total,All age ranges or no breakdown by age,Total,Per 100 persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,0.0,0.0,0.0,0.0,0.0,0.098035371,0.0984275,0.0984275,0.0984275,0.0984275,0.128808206,0.129492,0.129492,0.129492,0.129492,0.161807704,0.184005778,0.178008273,0.172204631,0.273588965,0.286568832,0.279954554,0.293983958,0.306995327,0.308402369,0.309579632,0.320544284,0.320995436,0.32133008,0.337737891,0.318,0.417,0.512,0.687,0.825,0.957,1.11,1.15,1.83,2.06,2.37,2.87,3.14,3.71,4.66,4.99,4.7,4.4,4.0,3.8,3.75,3.88,3.76,3.65,3.25,2.94,2.82,2.83,2.9,2.82,2.99,2.54,2.51,2.34,
